
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
64, 2.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 229.60, 51.73, 0.2921, 1.2144

64, 2.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 227.93, 51.30, 0.2921, 1.2043

64, 3.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 226.60, 50.95, 0.2921, 1.1942

64, 3.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 225.30, 50.67, 0.2921, 1.1843

64, 3.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 223.84, 50.40, 0.2921, 1.1744

64, 3.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 222.03, 50.03, 0.2921, 1.1646

64, 3.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 220.02, 49.55, 0.2922, 1.1551

64, 3.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 218.56, 49.12, 0.2921, 1.1456

64, 3.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 217.28, 48.80, 0.2921, 1.1360

64, 3.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 216.08, 48.57, 0.2921, 1.1265

64, 3.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 214.73, 48.28, 0.2921, 1.1171

64, 3.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 213.17, 47.90, 0.2921, 1.1078

64, 3.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 211.33, 47.46, 0.2921, 1.0986

64, 3.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 209.61, 46.95, 0.2922, 1.0896

64, 3.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 208.19, 46.68, 0.2922, 1.0805

64, 3.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 206.92, 46.43, 0.2922, 1.0715

64, 3.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 205.58, 46.17, 0.2922, 1.0626

64, 3.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 203.83, 45.82, 0.2922, 1.0536

64, 3.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 201.79, 45.35, 0.2922, 1.0449

64, 3.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 199.80, 44.86, 0.2922, 1.0364

64, 3.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 198.30, 44.57, 0.2922, 1.0278

64, 3.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 197.01, 44.31, 0.2921, 1.0192

64, 4.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 195.74, 44.05, 0.2921, 1.0107

64, 4.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 194.30, 43.74, 0.2921, 1.0023

64, 4.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 192.15, 43.25, 0.2921, 0.9940

64, 4.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 190.17, 42.80, 0.2921, 0.9858

64, 4.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 188.51, 42.48, 0.2920, 0.9776

64, 4.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 187.06, 42.17, 0.2920, 0.9696

64, 4.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 185.67, 41.92, 0.2920, 0.9615

64, 4.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 184.16, 41.61, 0.2920, 0.9536

64, 4.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 182.10, 41.16, 0.2920, 0.9456

64, 4.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 179.91, 40.70, 0.2920, 0.9380

64, 4.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 178.01, 40.34, 0.2920, 0.9304

64, 4.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 176.57, 40.03, 0.2920, 0.9228

64, 4.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 175.29, 39.74, 0.2919, 0.9152

64, 4.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 174.06, 39.40, 0.2920, 0.9078

64, 4.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 172.41, 39.03, 0.2919, 0.9005

64, 4.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 170.49, 38.62, 0.2919, 0.8933

64, 4.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 168.67, 38.20, 0.2919, 0.8863

64, 4.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 167.27, 37.82, 0.2919, 0.8791

64, 4.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 165.99, 37.54, 0.2919, 0.8720

64, 4.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 164.58, 37.26, 0.2919, 0.8650

64, 5.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 162.93, 36.94, 0.2919, 0.8582
